 ,,DISTRIBUTION OF  GRANTED PATENTS WITH RESPECT TO CITIES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
57,SİNOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
58,SİVAS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,2,1,2
59,TEKİRDAĞ,1,0,0,1,0,0,0,0,0,0,0,1,1,3,12,15,15,17,24,23,58,35
60,TOKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1
61,TRABZON,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4,0,1,1,4,1
62,TUNCELİ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ŞANLIURFA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,1
64,UŞAK,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,2,1,2,3,0,2
65,VAN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
66,YOZGAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
67,ZONGULDAK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,2,2,0,1,2
68,AKSARAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
69,BAYBURT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,KARAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
71,KIRIKKALE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
72,BATMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
