,,FAYDALI MODEL TESCİLLERİNİN İLLERE GÖRE DAĞILIMI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,MARDİN,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,2,1,0,3,0,0,1,2
48,MUĞLA,0,0,2,0,1,0,0,1,3,1,0,3,8,4,8,3,4,8,6,9,7,5,8,0,8,6,12
49,MUŞ,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,2,2
50,NEVŞEHİR,0,0,0,0,0,0,1,0,0,0,0,1,2,6,4,4,2,19,7,5,6,2,4,0,3,2,6
51,NİĞDE,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,1,1,1,2,1,4,0,0,1,3
52,ORDU,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,1,2,3,3,2,0,3,1,0,0,1
53,RİZE,0,0,0,3,0,0,0,0,0,1,0,1,1,0,3,1,3,1,2,3,2,4,9,0,5,7,4
54,SAKARYA,0,0,0,0,0,0,1,2,4,5,13,19,24,24,41,27,17,21,32,44,33,29,31,5,10,17,44
55,SAMSUN,0,0,0,0,0,1,1,2,6,2,3,9,8,11,7,18,14,19,17,10,11,10,17,0,4,9,20
56,SİİRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
57,SİNOP,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,1,2,2,1,1,0,0,1,0,2,0,2
58,SİVAS,0,0,0,0,0,0,0,0,3,3,1,1,4,2,4,5,2,5,2,4,3,1,1,2,4,2,12
59,TEKİRDAĞ,0,0,1,0,0,0,10,5,1,2,3,4,10,28,23,9,9,9,16,20,23,17,13,8,9,6,13
60,TOKAT,0,0,0,0,0,0,0,1,0,0,1,0,5,1,3,4,3,3,0,1,3,2,1,0,2,2,3
61,TRABZON,0,0,0,0,0,1,0,2,0,2,0,2,3,0,1,5,3,3,5,1,6,6,12,0,3,2,12
62,TUNCELİ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
63,ŞANLIURFA,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,2,0,1,0,0,3,0,3,1,0,1,8
64,UŞAK,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,4,2,6,1,3,2,5,2,0,1,1,4
65,VAN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,4,0,3,0,0
66,YOZGAT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,2,4,3,0,3,1,0,1,3
